A/C,RO,RU,U,R,UO,O,N
malli LR,0.05,0.1,0.4,0.2,0.05,0.15,0.05
malli NR,0.116402116,0.148148148,0.238095238,0.185185185,0.111111111,0.158730159,0.042328042
mango HR,0,0,0.666666667,0,0,0.333333333,0
mango LR,0.045454545,0.045454545,0.318181818,0.090909091,0.090909091,0.363636364,0.045454545
mango MR,0.111111111,0.111111111,0.555555556,0,0.222222222,0,0
mango KR,0.105785124,0.137190083,0.221487603,0.201652893,0.076033058,0.157024793,0.100826446
mango NR,0.091954023,0.068965517,0.367816092,0.137931034,0.16091954,0.103448276,0.068965517
mushroom HR,0,0,0.333333333,0,0,0.333333333,0.333333333
mushroom LR,0.043478261,0.347826087,0.043478261,0.260869565,0,0.217391304,0.086956522
mushroom MR,0,0,0.333333333,0.333333333,0.166666667,0.166666667,0
mushroom KR,0.105902778,0.128472222,0.237847222,0.184027778,0.086805556,0.151041667,0.105902778
mushroom NR,0.101694915,0.076271186,0.330508475,0.186440678,0.110169492,0.161016949,0.033898305
nuckol HR,0,0,0,0,0.5,0,0.5
nuckol LR,0.071428571,0.214285714,0.285714286,0,0,0.071428571,0.357142857
nuckol MR,0,0.5,0.5,0,0,0,0
nuckol KR,0.098918083,0.129829985,0.238021638,0.193199382,0.089644513,0.157650696,0.092735703
nuckol NR,0.147540984,0.049180328,0.344262295,0.180327869,0.081967213,0.163934426,0.032786885
onion HR,0.285714286,0,0.285714286,0.142857143,0.285714286,0,0
onion LR,0.066666667,0.123809524,0.285714286,0.2,0.133333333,0.161904762,0.028571429
onion MR,0.106382979,0.170212766,0.340425532,0.106382979,0.042553191,0.191489362,0.042553191
onion KR,0,0.06779661,0.06779661,0.084745763,0,0.050847458,0.728813559
onion NR,0.118110236,0.12992126,0.251968504,0.204724409,0.090551181,0.165354331,0.039370079
peas HR,0,0,1,0,0,0,0
peas LR,0.025641026,0.230769231,0.333333333,0.102564103,0.076923077,0.102564103,0.128205128
peas MR,0,0,0.111111111,0.333333333,0.111111111,0.444444444,0
peas KR,0.119834711,0.092975207,0.25,0.171487603,0.105371901,0.148760331,0.111570248
peas NR,0.078125,0.192708333,0.223958333,0.239583333,0.046875,0.171875,0.046875
potroot HR,0.428571429,0.285714286,0,0.142857143,0,0.142857143,0
potroot LR,0.063829787,0.127659574,0.382978723,0.191489362,0.127659574,0.085106383,0.021276596
potroot MR,0.052631579,0.157894737,0.263157895,0.315789474,0,0.210526316,0
potroot KR,0.104651163,0.095348837,0.237209302,0.160465116,0.086046512,0.193023256,0.123255814
potroot NR,0.098654709,0.174887892,0.246636771,0.228699552,0.094170404,0.094170404,0.062780269
paneer HR,0,0,0.5,0,0,0.5,0
paneer LR,0.052631579,0.105263158,0.315789474,0.210526316,0.105263158,0.210526316,0
paneer MR,0,0.111111111,0.111111111,0.555555556,0,0.222222222,0
paneer KR,0.106346484,0.109777015,0.255574614,0.176672384,0.087478559,0.14922813,0.114922813
paneer NR,0.097345133,0.212389381,0.203539823,0.212389381,0.097345133,0.168141593,0.008849558
potato HR,0.090909091,0.090909091,0.181818182,0.272727273,0.272727273,0.090909091,0
potato LR,0.103092784,0.206185567,0.298969072,0.134020619,0.041237113,0.195876289,0.020618557
potato MR,0.09375,0.15625,0.5,0.09375,0.125,0.03125,0
potato KR,0.062992126,0.094488189,0.165354331,0.086614173,0.094488189,0.133858268,0.362204724
potato NR,0.11328976,0.11546841,0.244008715,0.230936819,0.089324619,0.163398693,0.043572985
pumkin HR,0,1,0,0,0,0,0
pumkin LR,0.12,0.4,0.16,0.2,0.08,0.04,0
pumkin MR,0,0.5,0.5,0,0,0,0
pumkin KR,0.105,0.108333333,0.241666667,0.196666667,0.085,0.158333333,0.105
pumkin NR,0.086956522,0.108695652,0.304347826,0.141304348,0.119565217,0.184782609,0.054347826
pudina HR,0.142857143,0.285714286,0.142857143,0.142857143,0.142857143,0.142857143,0
pudina LR,0.064516129,0.161290323,0.35483871,0.161290323,0.064516129,0.129032258,0.064516129
pudina MR,0.222222222,0.166666667,0.111111111,0.055555556,0.055555556,0.277777778,0.111111111
pudina KR,0.099009901,0.120792079,0.235643564,0.201980198,0.089108911,0.142574257,0.110891089
pudina NR,0.103030303,0.121212121,0.284848485,0.163636364,0.090909091,0.187878788,0.048484848
radish HR,0.5,0,0.5,0,0,0,0
radish LR,0.155555556,0.155555556,0.244444444,0.133333333,0.155555556,0.133333333,0.022222222
radish MR,0.090909091,0.090909091,0.272727273,0.272727273,0.045454545,0.227272727,0
radish KR,0.102702703,0.124324324,0.232432432,0.183783784,0.067567568,0.143243243,0.145945946
radish NR,0.090592334,0.12543554,0.264808362,0.195121951,0.108013937,0.170731707,0.045296167
tomato HR,0.333333333,0.166666667,0,0.333333333,0,0.166666667,0
tomato LR,0.076923077,0.120879121,0.318681319,0.241758242,0.065934066,0.175824176,0
tomato MR,0.069767442,0.279069767,0.139534884,0.139534884,0.23255814,0.093023256,0.046511628
tomato KR,0.0625,0.078125,0.0625,0.109375,0.015625,0.03125,0.640625
tomato NR,0.111111111,0.118773946,0.270114943,0.189655172,0.090038314,0.172413793,0.04789272
tondaikai LR,0,0,0.428571429,0.285714286,0.285714286,0,0
tondaikai KR,0.099688474,0.124610592,0.238317757,0.183800623,0.088785047,0.163551402,0.101246106
tondaikai NR,0.12987013,0.142857143,0.311688312,0.207792208,0.064935065,0.103896104,0.038961039
vazpoo/thandu HR,0,0,0,0,0,1,0
vazpoo/thandu LR,0,0.428571429,0.285714286,0.142857143,0,0.142857143,0
vazpoo/thandu MR,0,0.25,0,0,0.5,0.25,0
vazpoo/thandu KR,0.106544901,0.118721461,0.243531202,0.190258752,0.085235921,0.156773212,0.098934551
vazpoo/thandu NR,0.070175439,0.157894737,0.315789474,0.175438596,0.105263158,0.122807018,0.052631579
yams HR,0,0,0.6,0,0.2,0.2,0
yams LR,0.137931034,0.155172414,0.25862069,0.103448276,0.206896552,0.103448276,0.034482759
yams MR,0.045454545,0.181818182,0.363636364,0.181818182,0.090909091,0.090909091,0.045454545
yams KR,0.092050209,0.121338912,0.238493724,0.186192469,0.075313808,0.167364017,0.119246862
yams NR,0.128834356,0.122699387,0.245398773,0.226993865,0.079754601,0.147239264,0.049079755
gram HR,0.138888889,0.222222222,0.222222222,0.111111111,0.055555556,0.222222222,0.027777778
gram KR,0,0.023255814,0.069767442,0.069767442,0,0.023255814,0.813953488
gram LR,0.08411215,0.140186916,0.289719626,0.168224299,0.107476636,0.186915888,0.023364486
gram MR,0.111842105,0.138157895,0.269736842,0.184210526,0.052631579,0.157894737,0.085526316
gram NR,0.120996441,0.110320285,0.234875445,0.231316726,0.110320285,0.142348754,0.049822064
channa HR,0.136363636,0.090909091,0.363636364,0.227272727,0,0.136363636,0.045454545
channa KR,0.114832536,0.023923445,0.215311005,0.181818182,0.076555024,0.157894737,0.229665072
channa LR,0.105960265,0.205298013,0.258278146,0.245033113,0.072847682,0.079470199,0.033112583
channa MR,0.115384615,0.128205128,0.179487179,0.128205128,0.141025641,0.243589744,0.064102564
channa NR,0.082706767,0.161654135,0.278195489,0.172932331,0.097744361,0.172932331,0.033834586
dhal HR,0.272727273,0.181818182,0.272727273,0.090909091,0.090909091,0.090909091,0
dhal LR,0.093457944,0.08411215,0.327102804,0.196261682,0.112149533,0.14953271,0.037383178
dhal MR,0.151515152,0.136363636,0.227272727,0.181818182,0.090909091,0.136363636,0.075757576
dhal KR,0,0.043478261,0.043478261,0.065217391,0,0.02173913,0.826086957
dhal NR,0.102822581,0.139112903,0.252016129,0.199596774,0.090725806,0.173387097,0.04233871
maida HR,0.272727273,0.090909091,0.272727273,0.181818182,0.090909091,0.090909091,0
maida LR,0.101123596,0.101123596,0.269662921,0.314606742,0.112359551,0.08988764,0.011235955
maida MR,0.027777778,0.194444444,0.277777778,0.166666667,0.083333333,0.194444444,0.055555556
maida KR,0.092511013,0.092511013,0.259911894,0.13215859,0.061674009,0.154185022,0.207048458
maida NR,0.110192837,0.14600551,0.231404959,0.192837466,0.099173554,0.170798898,0.049586777
oats HR,0,0,1,0,0,0,0
oats LR,0,0.1,0.2,0.4,0,0.3,0
oats MR,0,0.75,0.125,0.125,0,0,0
oats KR,0.102773246,0.120717781,0.243066884,0.189233279,0.081566069,0.156606852,0.106035889
oats NR,0.117021277,0.106382979,0.287234043,0.159574468,0.14893617,0.14893617,0.031914894
ragi HR,0.5,0,0.5,0,0,0,0
ragi LR,0.045454545,0.136363636,0.272727273,0.136363636,0.181818182,0.227272727,0
ragi MR,0,0.083333333,0.416666667,0.083333333,0.083333333,0.333333333,0
ragi KR,0.107272727,0.132727273,0.234545455,0.181818182,0.083636364,0.152727273,0.107272727
ragi NR,0.092857143,0.1,0.278571429,0.228571429,0.092857143,0.142857143,0.064285714
rice LR,0.166666667,0,0.333333333,0.333333333,0,0.166666667,0
rice MR,0,1,0,0,0,0,0
rice KR,0.108239095,0.117932149,0.221324717,0.192245557,0.090468498,0.164781906,0.105008078
rice NR,0.060606061,0.161616162,0.414141414,0.151515152,0.080808081,0.101010101,0.03030303
wheat HR,0.055555556,0.055555556,0.5,0.166666667,0,0.222222222,0
wheat LR,0.104166667,0.15625,0.333333333,0.166666667,0.114583333,0.104166667,0.020833333
wheat MR,0.046511628,0.186046512,0.325581395,0.186046512,0.139534884,0.11627907,0
wheat KR,0.112068966,0.051724138,0.172413793,0.112068966,0.043103448,0.129310345,0.379310345
wheat NR,0.105960265,0.134657837,0.231788079,0.21192053,0.092715232,0.174392936,0.048565121
coconut HR,0,0,0.666666667,0.333333333,0,0,0
coconut LR,0.076923077,0.128205128,0.256410256,0.230769231,0.08974359,0.192307692,0.025641026
coconut MR,0.023255814,0.23255814,0.302325581,0.162790698,0.209302326,0.069767442,0
coconut KR,0.075829384,0.104265403,0.170616114,0.184834123,0.085308057,0.132701422,0.246445498
coconut NR,0.130434783,0.125319693,0.278772379,0.181585678,0.076726343,0.171355499,0.035805627
oil HR,0,0,0.4,0.2,0,0.4,0
oil LR,0.041666667,0.069444444,0.402777778,0.138888889,0.152777778,0.166666667,0.027777778
oil MR,0.0625,0.0625,0.3125,0.0625,0.125,0.375,0
oil KR,0.099447514,0.151933702,0.17679558,0.218232044,0.055248619,0.138121547,0.160220994
oil NR,0.129411765,0.11372549,0.294117647,0.17254902,0.11372549,0.145098039,0.031372549
garlic HR,0.5,0,0.333333333,0,0,0.166666667,0
garlic LR,0.073529412,0.147058824,0.235294118,0.161764706,0.132352941,0.220588235,0.029411765
garlic MR,0.071428571,0.107142857,0.357142857,0.214285714,0.071428571,0.178571429,0
garlic KR,0.081794195,0.139841689,0.232189974,0.187335092,0.073878628,0.137203166,0.147757256
garlic NR,0.134693878,0.102040816,0.26122449,0.195918367,0.102040816,0.163265306,0.040816327
ginger HR,0,0,0.333333333,0,0,0.666666667,0
ginger LR,0.153846154,0.192307692,0.25,0.153846154,0.057692308,0.192307692,0
ginger MR,0.034482759,0.068965517,0.310344828,0.137931034,0.103448276,0.275862069,0.068965517
ginger KR,0.086021505,0.126344086,0.217741935,0.193548387,0.077956989,0.142473118,0.155913978
ginger NR,0.122222222,0.118518519,0.281481481,0.192592593,0.107407407,0.148148148,0.02962963
pepper LR,0,0.285714286,0.142857143,0.428571429,0,0.142857143,0
pepper KR,0.100775194,0.110077519,0.249612403,0.196899225,0.080620155,0.162790698,0.099224806
pepper NR,0.125,0.25,0.25,0.083333333,0.138888889,0.097222222,0.055555556
pepper MR,0,0,0,0,1,0,0
tamarind HR,0.1875,0,0.5625,0.125,0,0.125,0
tamarind LR,0.029126214,0.184466019,0.32038835,0.184466019,0.097087379,0.165048544,0.019417476
tamarind MR,0.20754717,0.113207547,0.20754717,0.113207547,0.075471698,0.226415094,0.056603774
tamarind KR,0.093959732,0.11409396,0.161073826,0.181208054,0.040268456,0.127516779,0.281879195
tamarind NR,0.10617284,0.120987654,0.254320988,0.202469136,0.108641975,0.155555556,0.051851852
aginomoto HR,0.333333333,0.333333333,0.333333333,0,0,0,0
aginomoto LR,0.096153846,0.153846154,0.230769231,0.230769231,0.115384615,0.153846154,0.019230769
aginomoto MR,0.114285714,0.085714286,0.314285714,0.142857143,0.142857143,0.114285714,0.085714286
aginomoto KR,0.10230179,0.120204604,0.235294118,0.181585678,0.081841432,0.148337596,0.130434783
aginomoto NR,0.097959184,0.130612245,0.26122449,0.195918367,0.085714286,0.175510204,0.053061224
spices HR,0,0,0.666666667,0.333333333,0,0,0
spices LR,0.105263158,0,0.421052632,0.210526316,0.105263158,0.157894737,0
spices MR,0.25,0,0.25,0.25,0.25,0,0
spices KR,0.102702703,0.111711712,0.230630631,0.189189189,0.082882883,0.163963964,0.118918919
spices NR,0.096551724,0.2,0.282758621,0.172413793,0.103448276,0.131034483,0.013793103
coco HR,0.25,0,0,0,0,0.75,0
coco LR,0,0.090909091,0.545454545,0.181818182,0,0.181818182,0
coco MR,0.125,0,0.375,0.375,0,0.125,0
coco KR,0.093425606,0.121107266,0.252595156,0.193771626,0.077854671,0.148788927,0.112456747
coco NR,0.144,0.16,0.2,0.152,0.152,0.168,0.024
drink 1 LR,0.142857143,0.142857143,0,0,0,0.571428571,0.142857143
drink 1 MR,0,0,0,0,0.333333333,0.666666667,0
drink 1 KR,0.101538462,0.124615385,0.243076923,0.193846154,0.084615385,0.156923077,0.095384615
drink 1 NR,0.106060606,0.136363636,0.333333333,0.151515152,0.121212121,0.075757576,0.075757576
drink2 LR,0.142857143,0,0.142857143,0.142857143,0,0.428571429,0.142857143
drink2 MR,0,0,0.333333333,0,0.333333333,0.333333333,0
drink2 KR,0.101071975,0.122511485,0.238897397,0.19295559,0.087289433,0.159264931,0.098009188
drink2 NR,0.111111111,0.174603175,0.349206349,0.142857143,0.095238095,0.079365079,0.047619048
fruit1 HR,0.083333333,0.277777778,0.333333333,0.138888889,0.055555556,0.083333333,0.027777778
fruit1 LR,0.1,0.105,0.2475,0.215,0.11,0.17,0.0525
fruit1 MR,0.113207547,0.216981132,0.349056604,0.094339623,0.066037736,0.122641509,0.037735849
fruit1 KR,0.136752137,0.034188034,0.145299145,0.179487179,0.034188034,0.128205128,0.341880342
fruit1 NR,0.044776119,0.179104478,0.223880597,0.208955224,0.104477612,0.208955224,0.029850746
fruit2 HR,0,0,0.529411765,0.117647059,0.117647059,0.176470588,0.058823529
fruit2 LR,0.087533156,0.135278515,0.25994695,0.196286472,0.098143236,0.167108753,0.055702918
fruit2 MR,0.15,0.23,0.28,0.12,0.12,0.1,0
fruit2 KR,0.127516779,0.040268456,0.154362416,0.194630872,0.046979866,0.134228188,0.302013423
fruit2 NR,0.084337349,0.13253012,0.265060241,0.228915663,0.072289157,0.204819277,0.012048193
lime HR,0,0,0.75,0.25,0,0,0
lime LR,0.140625,0.09375,0.3125,0.15625,0.09375,0.1875,0.015625
lime MR,0,0,0.3,0.3,0.2,0.1,0.1
lime KR,0.100185529,0.141001855,0.220779221,0.194805195,0.083487941,0.146567718,0.113172542
lime NR,0.100917431,0.082568807,0.321100917,0.155963303,0.100917431,0.19266055,0.04587156
nuts HR,0.081081081,0.162162162,0.243243243,0.324324324,0.027027027,0.135135135,0.027027027
nuts LR,0.1,0.15625,0.33125,0.15,0.09375,0.1125,0.05625
nuts MR,0.147058824,0.166666667,0.225490196,0.205882353,0.058823529,0.176470588,0.019607843
nuts KR,0.064864865,0.075675676,0.178378378,0.183783784,0.097297297,0.167567568,0.232432432
nuts NR,0.115702479,0.119834711,0.256198347,0.185950413,0.099173554,0.169421488,0.053719008
running nose NO,0.02991453,0.040598291,0.378205128,0.061965812,0.136752137,0.213675214,0.138888889
running nose YES,0.23255814,0.279069767,0.011627907,0.414728682,0,0.050387597,0.011627907
sneeze NO,0.023965142,0.030501089,0.387799564,0.050108932,0.139433551,0.220043573,0.148148148
sneeze YES,0.235955056,0.288389513,0.007490637,0.423220974,0,0.04494382,0
cough NO,0.051376147,0.064220183,0.330275229,0.133944954,0.113761468,0.181651376,0.124770642
cough YES,0.254143646,0.309392265,0,0.348066298,0.011049724,0.077348066,0
wheeze/blocks NO,0.044624746,0.046653144,0.361054767,0.113590264,0.125760649,0.170385396,0.137931034
wheeze/blocks YES,0.223175966,0.291845494,0.008583691,0.343347639,0.008583691,0.124463519,0
headache NO,0.05017301,0.057093426,0.307958478,0.167820069,0.10899654,0.190311419,0.117647059
headache YES,0.304054054,0.391891892,0.013513514,0.263513514,0.006756757,0.02027027,0
itching NO,0.215976331,0.017751479,0.014792899,0.399408284,0.00295858,0.147928994,0.201183432
itching YES,0.00257732,0.219072165,0.451030928,0.00257732,0.162371134,0.162371134,0
swelling NO,0.135779817,0.058715596,0.183486239,0.249541284,0.075229358,0.172477064,0.124770642
swelling YES,0,0.325966851,0.44198895,0,0.127071823,0.104972376,0
red rashes NO,0.126712329,0.058219178,0.226027397,0.232876712,0.073630137,0.16609589,0.116438356
red rashes YES,0,0.401408451,0.338028169,0,0.147887324,0.112676056,0
gender M,0.106060606,0.121212121,0.203030303,0.221212121,0.084848485,0.166666667,0.096969697
gender F,0.098484848,0.128787879,0.285353535,0.159090909,0.090909091,0.146464646,0.090909091
f_history NO,0,0.035714286,0.221428571,0.285714286,0.067857143,0.146428571,0.242857143
f_history YES,0.165919283,0.18161435,0.264573991,0.125560538,0.100896861,0.161434978,0
