A/C,R,U,RU,RO,O,UO,N
housedust MR,0.230496454,0.365248227,0.081560284,0.070921986,0.09929078,0.063829787,0.088652482
housedust KR,0,1,0,0,0,0,0
housedust HR,0.197026022,0.301115242,0.115241636,0.107806691,0.141263941,0.085501859,0.05204461
housedust NR,0.131578947,0.447368421,0.039473684,0.092105263,0.184210526,0.039473684,0.065789474
housedust LR,0.25,0.333333333,0.041666667,0.0625,0.15625,0.104166667,0.052083333
cottondust MR,0.196,0.332,0.096,0.1,0.132,0.064,0.08
cottondust KR,0.5,0.5,0,0,0,0,0
cottondust HR,0.191666667,0.333333333,0.125,0.05,0.108333333,0.133333333,0.058333333
cottondust NR,0.236714976,0.367149758,0.048309179,0.101449275,0.149758454,0.057971014,0.038647343
cottondust LR,0.206896552,0.351724138,0.082758621,0.068965517,0.124137931,0.068965517,0.096551724
aspergilus MR,0.208510638,0.336170213,0.119148936,0.072340426,0.110638298,0.068085106,0.085106383
aspergilus KR,0.428571429,0.142857143,0.142857143,0,0,0.142857143,0.142857143
aspergilus HR,0.188811189,0.27972028,0.090909091,0.118881119,0.202797203,0.076923077,0.041958042
aspergilus NR,0.211340206,0.360824742,0.056701031,0.077319588,0.118556701,0.092783505,0.082474227
aspergilus LR,0.220689655,0.420689655,0.055172414,0.089655172,0.117241379,0.055172414,0.04137931
pollen MR,0.184952978,0.376175549,0.087774295,0.081504702,0.131661442,0.072100313,0.065830721
pollen KR,0.5,0,0,0,0.5,0,0
pollen HR,0.202380952,0.317460317,0.099206349,0.099206349,0.134920635,0.083333333,0.063492063
pollen NR,0.263157895,0.315789474,0.035087719,0.087719298,0.192982456,0.035087719,0.070175439
pollen LR,0.276595745,0.35106383,0.063829787,0.063829787,0.074468085,0.085106383,0.085106383
parthenium MR,0.203773585,0.377358491,0.064150943,0.086792453,0.116981132,0.079245283,0.071698113
parthenium KR,0,0,0,0,1,0,0
parthenium HR,0.20923913,0.315217391,0.10326087,0.092391304,0.144021739,0.076086957,0.059782609
parthenium NR,0.272727273,0.424242424,0.03030303,0.090909091,0.060606061,0.090909091,0.03030303
parthenium LR,0.210526316,0.368421053,0.087719298,0.035087719,0.140350877,0.035087719,0.122807018
cockroach MR,0.255060729,0.319838057,0.085020243,0.072874494,0.145748988,0.068825911,0.052631579
cockroach KR,0,0.666666667,0,0,0.333333333,0,0
cockroach HR,0.193251534,0.337423313,0.09202454,0.095092025,0.110429448,0.079754601,0.09202454
cockroach NR,0.181818182,0.424242424,0.03030303,0.090909091,0.106060606,0.106060606,0.060606061
cockroach LR,0.170731707,0.390243902,0.097560976,0.085365854,0.182926829,0.048780488,0.024390244
cat dander MR,0.25,0.75,0,0,0,0,0
cat dander KR,0.210526316,0.347368421,0.084210526,0.078195489,0.133834586,0.073684211,0.072180451
cat dander HR,0,0.4,0,0.4,0.2,0,0
cat dander NR,0.219512195,0.317073171,0.073170732,0.170731707,0.073170732,0.12195122,0.024390244
cat dander LR,0.222222222,0.222222222,0.222222222,0.111111111,0.222222222,0,0
dos fur MR,0.137931034,0.379310345,0.068965517,0.172413793,0.206896552,0.034482759,0
dos fur KR,0.215408805,0.352201258,0.078616352,0.080188679,0.130503145,0.072327044,0.070754717
dos fur HR,0,0.333333333,0.333333333,0,0,0.166666667,0.166666667
dos fur NR,0.24,0.32,0.12,0.08,0.16,0.04,0.04
dos fur LR,0.178571429,0.214285714,0.142857143,0.142857143,0.071428571,0.178571429,0.071428571
Milk(P) MR,0.212121212,0.333333333,0.060606061,0.151515152,0.121212121,0.121212121,0
Milk(P) KR,0.159090909,0.170454545,0.045454545,0.090909091,0.079545455,0.125,0.329545455
Milk(P) HR,0,0.666666667,0,0.166666667,0.166666667,0,0
Milk(P) NR,0.225868726,0.361003861,0.090733591,0.083011583,0.144787645,0.063706564,0.030888031
Milk(P) LR,0.17721519,0.430379747,0.101265823,0.063291139,0.101265823,0.075949367,0.050632911
Milk( C ) MR,0,0.25,0.375,0.375,0,0,0
Milk( C ) KR,0.218944099,0.340062112,0.080745342,0.085403727,0.130434783,0.069875776,0.074534161
Milk( C ) HR,0,0.5,0.25,0,0.25,0,0
Milk( C ) NR,0.192307692,0.423076923,0.076923077,0.057692308,0.134615385,0.115384615,0
Milk( C ) LR,0.0625,0.375,0.0625,0.0625,0.1875,0.1875,0.0625
curd MR,0.0625,0.395833333,0.145833333,0.0625,0.25,0.0625,0.020833333
curd KR,0.221014493,0.300724638,0.083333333,0.094202899,0.115942029,0.072463768,0.112318841
curd HR,0.375,0.5,0.125,0,0,0,0
curd NR,0.230031949,0.348242812,0.07028754,0.092651757,0.127795527,0.083067093,0.047923323
curd LR,0.164556962,0.455696203,0.101265823,0.050632911,0.139240506,0.063291139,0.025316456
coffee MR,0.212121212,0.242424242,0.090909091,0.03030303,0.242424242,0.151515152,0.03030303
coffee KR,0.23,0.332,0.08,0.082,0.116,0.07,0.09
coffee HR,0.181818182,0.363636364,0.090909091,0,0.363636364,0,0
coffee NR,0.168141593,0.389380531,0.053097345,0.159292035,0.14159292,0.07079646,0.017699115
coffee LR,0.134328358,0.432835821,0.164179104,0.029850746,0.134328358,0.089552239,0.014925373
tea MR,0.276315789,0.381578947,0.052631579,0.118421053,0.078947368,0.065789474,0.026315789
tea KR,0.211956522,0.320652174,0.089673913,0.08423913,0.122282609,0.073369565,0.097826087
tea HR,0.117647059,0.264705882,0.058823529,0.058823529,0.294117647,0.176470588,0.029411765
tea NR,0.230769231,0.376923077,0.061538462,0.076923077,0.130769231,0.084615385,0.038461538
tea LR,0.163793103,0.396551724,0.120689655,0.086206897,0.146551724,0.043103448,0.043103448
beef MR,0,0.416666667,0,0.166666667,0.166666667,0.166666667,0.083333333
beef NR,0.208955224,0.373134328,0.119402985,0.074626866,0.164179104,0.044776119,0.014925373
beef LR,0.153846154,0.5,0.038461538,0.038461538,0.076923077,0.115384615,0.076923077
beef KR,0.216478191,0.336025848,0.084006462,0.08723748,0.129240711,0.074313409,0.0726979
chicken MR,0.2,0.369230769,0.092307692,0.092307692,0.138461538,0.076923077,0.030769231
chicken KR,0.183206107,0.332061069,0.064885496,0.057251908,0.148854962,0.072519084,0.141221374
chicken HR,0.090909091,0.454545455,0.090909091,0.181818182,0,0.090909091,0.090909091
chicken NR,0.255639098,0.315789474,0.086466165,0.105263158,0.127819549,0.086466165,0.022556391
chicken LR,0.183333333,0.425,0.116666667,0.091666667,0.108333333,0.05,0.025
mutton MR,0.229508197,0.327868852,0.114754098,0.049180328,0.147540984,0.098360656,0.032786885
mutton KR,0.223796034,0.342776204,0.073654391,0.073654391,0.11898017,0.062322946,0.104815864
mutton HR,0.111111111,0.5,0.055555556,0.166666667,0.111111111,0,0.055555556
mutton NR,0.188679245,0.339622642,0.094339623,0.103773585,0.155660377,0.080188679,0.037735849
mutton LR,0.2125,0.3625,0.0875,0.1,0.1125,0.1125,0.0125
egg MR,0.220779221,0.311688312,0.103896104,0.090909091,0.12987013,0.142857143,0
egg KR,0.162995595,0.383259912,0.066079295,0.070484581,0.13215859,0.044052863,0.140969163
egg HR,0.142857143,0.357142857,0,0.214285714,0.071428571,0.071428571,0.142857143
egg NR,0.246753247,0.324675325,0.094155844,0.100649351,0.126623377,0.071428571,0.035714286
egg LR,0.204081633,0.357142857,0.091836735,0.051020408,0.153061224,0.102040816,0.040816327
fish1 MR,0.125,0.34375,0.109375,0.0625,0.1875,0.09375,0.078125
fish1 KR,0.168,0.344,0.064,0.084,0.136,0.064,0.14
fish1 HR,0.25,0.75,0,0,0,0,0
fish1 NR,0.275471698,0.343396226,0.086792453,0.098113208,0.109433962,0.064150943,0.022641509
fish1 LR,0.19858156,0.34751773,0.106382979,0.078014184,0.141843972,0.106382979,0.021276596
fish2 MR,0.24,0.24,0.12,0.12,0.16,0.12,0
fish2 KR,0.201704545,0.329545455,0.071022727,0.088068182,0.127840909,0.073863636,0.107954545
fish2 HR,0.25,0.75,0,0,0,0,0
fish2 NR,0.225092251,0.354243542,0.095940959,0.084870849,0.129151292,0.077490775,0.033210332
fish2 LR,0.180555556,0.416666667,0.097222222,0.069444444,0.152777778,0.055555556,0.027777778
crab MR,0.2,0.314285714,0.057142857,0.2,0,0.171428571,0.057142857
crab KR,0.209486166,0.345849802,0.079051383,0.081027668,0.134387352,0.061264822,0.088932806
crab HR,0.2,0.133333333,0.133333333,0.133333333,0.133333333,0.266666667,0
crab NR,0.229357798,0.376146789,0.082568807,0.064220183,0.155963303,0.082568807,0.009174312
crab LR,0.186440678,0.372881356,0.13559322,0.084745763,0.13559322,0.06779661,0.016949153
prawns MR,0.142857143,0.428571429,0.06122449,0.142857143,0.12244898,0.081632653,0.020408163
prawns KR,0.185714286,0.322857143,0.08,0.088571429,0.14,0.071428571,0.111428571
prawns HR,0.192307692,0.346153846,0.153846154,0.076923077,0.153846154,0.076923077,0
prawns NR,0.240566038,0.372641509,0.08490566,0.075471698,0.127358491,0.070754717,0.028301887
prawns LR,0.275862069,0.333333333,0.091954023,0.068965517,0.103448276,0.091954023,0.034482759
shark MR,0,0.5,0.5,0,0,0,0
shark KR,0.205621302,0.350591716,0.079881657,0.087278107,0.130177515,0.075443787,0.071005917
shark HR,0,1,0,0,0,0,0
shark NR,0.30952381,0.285714286,0.119047619,0.047619048,0.142857143,0.071428571,0.023809524
shark LR,0,0,0.333333333,0.333333333,0.333333333,0,0
avaraikai MR,0.128205128,0.435897436,0.102564103,0.051282051,0.205128205,0.076923077,0
avaraikai KR,0.226361032,0.312320917,0.068767908,0.091690544,0.128939828,0.068767908,0.103151862
avaraikai HR,0,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0
avaraikai NR,0.23046875,0.375,0.08984375,0.0703125,0.11328125,0.078125,0.04296875
avaraikai LR,0.123287671,0.356164384,0.123287671,0.123287671,0.164383562,0.082191781,0.02739726
banana MR,0.3,0.3,0.1,0.1,0.1,0,0.1
banana KR,0.199294533,0.333333333,0.079365079,0.097001764,0.139329806,0.075837743,0.075837743
banana HR,0.5,0.5,0,0,0,0,0
banana NR,0.239316239,0.401709402,0.102564103,0.042735043,0.102564103,0.076923077,0.034188034
banana LR,0.25,0.392857143,0.107142857,0.035714286,0.107142857,0.071428571,0.035714286
beans MR,0.3125,0.3,0.0375,0.05,0.15,0.0875,0.0625
beans KR,0.201923077,0.221153846,0.057692308,0.086538462,0.086538462,0.038461538,0.307692308
beans HR,0.3,0.45,0,0,0.15,0.05,0.05
beans NR,0.19525066,0.366754617,0.081794195,0.116094987,0.147757256,0.071240106,0.021108179
beans LR,0.184397163,0.397163121,0.14893617,0.035460993,0.106382979,0.106382979,0.021276596
beet root MR,0.131578947,0.5,0.131578947,0.078947368,0.131578947,0.026315789,0
beet root KR,0.222222222,0.322493225,0.081300813,0.078590786,0.135501355,0.051490515,0.108401084
beet root HR,0,0.142857143,0,0,0.571428571,0.285714286,0
beet root NR,0.223577236,0.349593496,0.081300813,0.105691057,0.12195122,0.085365854,0.032520325
beet root LR,0.15625,0.40625,0.09375,0.0625,0.09375,0.171875,0.015625
brinjal MR,0.28125,0.375,0.140625,0.0625,0.109375,0.03125,0
brinjal KR,0.115183246,0.340314136,0.062827225,0.062827225,0.157068063,0.083769634,0.178010471
brinjal HR,0.3,0.25,0.1,0,0.2,0.15,0
brinjal NR,0.227272727,0.383116883,0.077922078,0.094155844,0.116883117,0.068181818,0.032467532
brinjal LR,0.255319149,0.276595745,0.09929078,0.120567376,0.127659574,0.085106383,0.035460993
cabbage MR,0.115384615,0.538461538,0.153846154,0.038461538,0.153846154,0,0
cabbage KR,0.201257862,0.342767296,0.072327044,0.078616352,0.113207547,0.075471698,0.116352201
cabbage HR,0,0.333333333,0.166666667,0,0.333333333,0.166666667,0
cabbage NR,0.235099338,0.331125828,0.089403974,0.082781457,0.152317881,0.072847682,0.036423841
cabbage LR,0.194444444,0.361111111,0.083333333,0.152777778,0.097222222,0.097222222,0.013888889
capsicum MR,0.222222222,0,0,0.111111111,0.333333333,0.222222222,0.111111111
capsicum KR,0.212478921,0.347386172,0.077571669,0.084317032,0.133220911,0.074198988,0.070826307
capsicum HR,0.25,0.5,0,0.25,0,0,0
capsicum NR,0.173076923,0.394230769,0.125,0.086538462,0.105769231,0.057692308,0.057692308
capsicum LR,0.357142857,0.142857143,0.142857143,0.071428571,0.142857143,0.142857143,0
chillie MR,0,0.666666667,0,0,0,0.333333333,0
chillie NR,0.216216216,0.364864865,0.067567568,0.108108108,0.121621622,0.081081081,0.040540541
chillie LR,0.2,0.5,0.2,0,0.1,0,0
chillie KR,0.210361068,0.340659341,0.08477237,0.08477237,0.133437991,0.073783359,0.072213501
cauliflower MR,0.105263158,0.315789474,0.105263158,0.052631579,0.368421053,0,0.052631579
cauliflower KR,0.189409369,0.358452138,0.071283096,0.097759674,0.120162933,0.077393075,0.085539715
cauliflower HR,0.25,0.5,0,0,0.25,0,0
cauliflower NR,0.25,0.319767442,0.11627907,0.069767442,0.13372093,0.087209302,0.023255814
cauliflower LR,0.342105263,0.315789474,0.105263158,0.026315789,0.131578947,0.026315789,0.052631579
carrot MR,0.114285714,0.4,0.085714286,0.057142857,0.2,0.085714286,0.057142857
carrot KR,0.135416667,0.260416667,0.041666667,0.09375,0.125,0.020833333,0.322916667
carrot HR,0.272727273,0.363636364,0.181818182,0.090909091,0,0.090909091,0
carrot NR,0.234343434,0.353535354,0.080808081,0.088888889,0.125252525,0.086868687,0.03030303
carrot LR,0.183908046,0.379310345,0.137931034,0.068965517,0.16091954,0.057471264,0.011494253
chow-chow MR,0.166666667,0.333333333,0.166666667,0,0.166666667,0.166666667,0
chow-chow KR,0.205574913,0.339721254,0.083623693,0.094076655,0.12543554,0.074912892,0.076655052
chow-chow HR,0,0.25,0,0,0.75,0,0
chow-chow NR,0.243697479,0.378151261,0.092436975,0.050420168,0.142857143,0.050420168,0.042016807
chow-chow LR,0.19047619,0.380952381,0.047619048,0.095238095,0.095238095,0.19047619,0
corn MR,0.2,0.6,0.2,0,0,0,0
corn KR,0.213087248,0.332214765,0.082214765,0.090604027,0.129194631,0.072147651,0.080536913
corn HR,0.333333333,0.333333333,0,0.333333333,0,0,0
corn NR,0.205882353,0.411764706,0.088235294,0.049019608,0.156862745,0.078431373,0.009803922
corn LR,0.111111111,0.388888889,0.111111111,0.111111111,0.111111111,0.166666667,0
cucumber MR,0.5,0.5,0,0,0,0,0
cucumber KR,0.2074883,0.355694228,0.076443058,0.085803432,0.131045242,0.073322933,0.070202808
cucumber HR,0,1,0,0,0,0,0
cucumber NR,0.235294118,0.264705882,0.147058824,0.088235294,0.132352941,0.088235294,0.044117647
cucumber LR,0.1,0.2,0.2,0.1,0.2,0.1,0.1
drumstick MR,0.236363636,0.363636364,0.090909091,0.090909091,0.145454545,0.036363636,0.036363636
drumstick KR,0.2,0.176470588,0.094117647,0.047058824,0.105882353,0.035294118,0.341176471
drumstick HR,0.333333333,0.666666667,0,0,0,0,0
drumstick NR,0.197979798,0.371717172,0.082828283,0.096969697,0.139393939,0.082828283,0.028282828
drumstick LR,0.265060241,0.337349398,0.084337349,0.060240964,0.108433735,0.096385542,0.048192771
greens MR,0.188235294,0.411764706,0.094117647,0.105882353,0.105882353,0.047058824,0.047058824
greens KR,0.26744186,0.186046512,0.034883721,0.058139535,0.093023256,0.023255814,0.337209302
greens HR,0.25,0.3,0.1,0.1,0.1,0.1,0.05
greens NR,0.225543478,0.350543478,0.089673913,0.086956522,0.141304348,0.070652174,0.035326087
greens LR,0.151515152,0.393939394,0.090909091,0.084848485,0.145454545,0.121212121,0.012121212
gourds MR,0.096774194,0.387096774,0.129032258,0.129032258,0.129032258,0.096774194,0.032258065
gourds KR,0.182857143,0.268571429,0.062857143,0.102857143,0.154285714,0.057142857,0.171428571
gourds HR,0,0.25,0.25,0.25,0,0.25,0
gourds NR,0.222222222,0.379227053,0.084541063,0.079710145,0.120772947,0.072463768,0.041062802
gourds LR,0.25,0.34,0.1,0.06,0.14,0.1,0.01
kovaikai MR,0,0.5,0.25,0,0.25,0,0
kovaikai KR,0.205263158,0.342105263,0.085964912,0.094736842,0.129824561,0.070175439,0.071929825
kovaikai HR,0,0,0,0,0,0.5,0.5
kovaikai NR,0.223076923,0.369230769,0.084615385,0.053846154,0.138461538,0.084615385,0.046153846
kovaikai LR,0.333333333,0.333333333,0,0.055555556,0.111111111,0.111111111,0.055555556
kothavarai NR,0.226415094,0.358490566,0.094339623,0.075471698,0.094339623,0.094339623,0.056603774
kothavarai LR,0.111111111,0.444444444,0.333333333,0.111111111,0,0,0
kothavarai KR,0.209969789,0.344410876,0.080060423,0.086102719,0.135951662,0.074018127,0.069486405
L finger MR,0.191666667,0.408333333,0.116666667,0.075,0.1,0.066666667,0.041666667
L finger KR,0.20952381,0.238095238,0.066666667,0.076190476,0.066666667,0.057142857,0.285714286
L finger HR,0.161290323,0.322580645,0.161290323,0.032258065,0.225806452,0.096774194,0
L finger NR,0.194444444,0.357638889,0.065972222,0.100694444,0.166666667,0.079861111,0.034722222
L finger LR,0.255555556,0.355555556,0.088888889,0.083333333,0.116666667,0.077777778,0.022222222
malli MR,0.3,0.2,0,0,0.4,0,0.1
